source,target,edge_type
401000000,401021000,ownership
401000000,401022000,ownership
401000000,401023000,ownership
401000000,401024000,ownership
401000000,401025000,ownership
401000000,401026000,ownership
401000000,401027000,ownership
401000000,401028000,ownership
401000000,401029000,ownership
401000000,401030000,ownership
401000000,401031000,ownership
401000000,401032000,ownership
401000000,401033000,ownership
401000000,401034000,ownership
402100000,402101000,ownership
402100000,402102000,ownership
402100000,402103000,ownership
402100000,402104000,ownership
402100000,402105000,ownership
402100000,402106000,ownership
402100000,402107000,ownership
402100000,402108000,ownership
402100000,402109000,ownership
402100000,402110000,ownership
402100000,402111000,ownership
402100000,402112000,ownership
402100000,402113000,ownership
402100000,402114000,ownership
402100000,402115000,ownership
402100000,402116000,ownership
402100000,402117000,ownership
402100000,402118000,ownership
402100000,402119000,ownership
402100000,402120000,ownership
402100000,402121000,ownership
402100000,402122000,ownership
402100000,402123000,ownership
403400000,403401000,ownership
403400000,403402000,ownership
403400000,403403000,ownership
403400000,403404000,ownership
403400000,403405000,ownership
403400000,403406000,ownership
403400000,403407000,ownership
403400000,403408000,ownership
403400000,403409000,ownership
403400000,403410000,ownership
403400000,403411000,ownership
403400000,403412000,ownership
403400000,403413000,ownership
403400000,403414000,ownership
403400000,403415000,ownership
403400000,403416000,ownership
403400000,403417000,ownership
403400000,403418000,ownership
403400000,403419000,ownership
403400000,403420000,ownership
403400000,403421000,ownership
403400000,403422000,ownership
403400000,403423000,ownership
403400000,403424000,ownership
403400000,403425000,ownership
403400000,403426000,ownership
403400000,403427000,ownership
403400000,403428000,ownership
403400000,403429000,ownership
403400000,403430000,ownership
405600000,405601000,ownership
405600000,405602000,ownership
405600000,405603000,ownership
405600000,405605000,ownership
405600000,405606000,ownership
405600000,405607000,ownership
405600000,405608000,ownership
405600000,405610000,ownership
405600000,405615000,ownership
405600000,405616000,ownership
405600000,405617000,ownership
405600000,405618000,ownership
405600000,405619000,ownership
405600000,405620000,ownership
405600000,405621000,ownership
405600000,405622000,ownership
405600000,405623000,ownership
405600000,405625000,ownership
405600000,405627000,ownership
405600000,405628000,ownership
405600000,405629000,ownership
405600000,405630000,ownership
405600000,405631000,ownership
405600000,405632000,ownership
405600000,405633000,ownership
405600000,405634000,ownership
405600000,405635000,ownership
405600000,405636000,ownership
405600000,405637000,ownership
405600000,405638000,ownership
405600000,405639000,ownership
405600000,405640000,ownership
405600000,405641000,ownership
405600000,405642000,ownership
405600000,405644000,ownership
405600000,405645000,ownership
405600000,405646000,ownership
405600000,405647000,ownership
405600000,405648000,ownership
405600000,405649000,ownership
405800000,405801000,ownership
405800000,405802000,ownership
405800000,405803000,ownership
405800000,405804000,ownership
405800000,405805000,ownership
405800000,405806000,ownership
405800000,405807000,ownership
405800000,405808000,ownership
405800000,405809000,ownership
405800000,405810000,ownership
405800000,405811000,ownership
